timestamp,current,capacity
2026-02-19T18:57:47.976Z,32,38
2026-02-19T19:28:34.238Z,23,38
2026-02-19T19:59:23.847Z,12,38
2026-02-19T20:41:36.899Z,1,38
2026-02-19T21:16:35.197Z,0,38
2026-02-19T21:51:43.171Z,0,38
2026-02-19T22:29:14.950Z,0,38
2026-02-19T23:01:13.478Z,0,38
2026-02-19T23:42:36.085Z,0,38
2026-02-20T00:02:07.972Z,0,38
2026-02-20T02:52:50.233Z,0,38
2026-02-20T04:45:24.293Z,0,38
2026-02-20T05:42:57.475Z,0,38
2026-02-20T06:37:05.130Z,0,38
2026-02-20T07:35:21.116Z,0,38
2026-02-20T08:06:17.839Z,0,38
2026-02-20T08:57:11.080Z,0,38
2026-02-20T09:45:39.419Z,0,38
2026-02-20T10:22:44.254Z,0,38
2026-02-20T11:04:39.368Z,0,38
2026-02-20T11:43:36.706Z,0,38
2026-02-20T12:03:01.874Z,0,38
2026-02-20T13:22:13.994Z,12,38
2026-02-20T14:10:39.137Z,19,38
2026-02-20T15:02:47.864Z,18,38
2026-02-20T15:51:25.072Z,23,38
2026-02-20T16:36:27.454Z,21,38
2026-02-20T17:22:07.883Z,29,38
2026-02-20T18:01:54.243Z,28,38
2026-02-20T19:03:06.103Z,15,38
2026-02-20T19:45:24.349Z,8,38
2026-02-20T20:01:28.958Z,2,38
2026-02-20T20:46:50.800Z,0,38
2026-02-20T21:02:06.314Z,0,38
2026-02-20T21:37:16.271Z,0,38
2026-02-20T21:55:14.110Z,0,38
2026-02-20T22:24:05.034Z,0,38
2026-02-20T22:54:22.133Z,0,38
2026-02-20T23:26:49.000Z,0,38
2026-02-20T23:52:22.613Z,0,38
2026-02-21T01:51:21.814Z,0,38
2026-02-21T04:05:33.184Z,0,38
2026-02-21T05:55:12.416Z,0,38
2026-02-21T06:39:50.052Z,0,38
2026-02-21T07:20:03.012Z,0,38
2026-02-21T07:47:45.414Z,0,38
2026-02-21T08:45:10.256Z,0,38
2026-02-21T09:14:29.941Z,1,38
2026-02-21T09:46:44.613Z,4,38
2026-02-21T10:00:43.857Z,5,38
2026-02-21T10:38:11.748Z,14,38
2026-02-21T10:58:10.166Z,13,38
2026-02-21T11:46:56.701Z,18,38
2026-02-21T11:58:18.489Z,17,38
2026-02-21T13:04:01.815Z,7,38
2026-02-21T13:50:21.210Z,15,38
2026-02-21T14:14:10.917Z,18,38
2026-02-21T14:46:39.737Z,18,38
2026-02-21T15:02:20.617Z,20,38
2026-02-21T15:36:28.673Z,23,38
2026-02-21T16:23:48.197Z,23,38
2026-02-21T16:54:14.862Z,22,38
2026-02-21T17:21:42.908Z,16,38
2026-02-21T17:47:54.181Z,11,38
2026-02-21T18:00:54.610Z,7,38
2026-02-21T18:50:36.253Z,0,38
2026-02-21T19:14:38.322Z,0,38
2026-02-21T19:39:37.774Z,0,38
2026-02-21T19:54:43.684Z,0,38
2026-02-21T20:21:50.999Z,0,38
2026-02-21T20:45:18.243Z,0,38
